frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
86,1.450029,8.009400,1.237856,32.379054,0.931437,25.061539,0.624334,22.516699,0.929569,41.707291,0.981375
87,1.466696,7.915900,1.441984,32.351263,0.930843,25.144918,0.627531,22.440023,0.927698,41.547709,0.979886
88,1.483363,8.167400,1.000224,32.319011,0.930078,25.242586,0.630140,22.364427,0.925752,41.422396,0.978388
89,1.500030,7.758400,1.001504,32.320325,0.929663,25.345651,0.633331,22.341066,0.925251,41.289631,0.977931
90,1.516697,8.034800,1.003136,32.428505,0.930241,25.459806,0.636670,22.457652,0.926545,41.111716,0.977049
91,1.533364,7.787600,1.001248,32.455638,0.930742,25.563094,0.639173,22.436381,0.925570,40.977288,0.976058
92,1.550031,8.070200,1.129824,32.446989,0.930795,25.660038,0.641232,22.394690,0.924887,40.909339,0.975593
93,1.566698,8.125600,1.295552,32.431055,0.930636,25.746283,0.643148,22.328687,0.924716,40.834670,0.975667
94,1.583365,8.163200,0.997632,32.385120,0.930575,25.846191,0.645899,22.134835,0.922045,40.667062,0.974989
95,1.600032,8.544600,1.180704,32.419032,0.930495,25.928745,0.648132,22.169117,0.922901,40.632039,0.974880
96,1.616699,8.232000,0.996512,32.297865,0.930041,26.008036,0.649888,21.840365,0.918516,40.596953,0.975474
97,1.633366,8.347100,1.307968,32.219990,0.928459,26.066160,0.650648,21.820142,0.918515,40.571997,0.975099
98,1.650033,8.260500,1.162528,32.135773,0.928158,26.157684,0.652014,21.573928,0.912774,40.530125,0.973388
99,1.666700,8.002900,1.238432,32.193753,0.928200,26.295657,0.655001,21.573943,0.911935,40.394558,0.972066
100,1.683367,8.347600,1.428512,32.157674,0.929090,26.411827,0.657668,21.361834,0.909195,40.436144,0.972083
101,1.700034,8.332200,1.173440,32.095154,0.928791,26.501230,0.659842,21.200902,0.904928,40.614849,0.972179
102,1.716701,8.058900,1.075968,32.018010,0.928774,26.582367,0.661922,21.014336,0.900600,40.918578,0.973291
103,1.733368,8.136400,1.019232,31.934037,0.929315,26.653740,0.662935,20.813796,0.896468,41.104142,0.974425
104,1.750035,8.116700,1.233312,31.956164,0.928730,26.727395,0.664655,20.908569,0.899411,41.620868,0.976007
105,1.766702,8.222200,1.002464,31.896228,0.928334,26.793401,0.665335,20.796356,0.899386,42.398690,0.977698
106,1.783369,8.557800,1.175968,31.932451,0.927960,26.865837,0.666908,20.846839,0.900159,42.510358,0.978249
107,1.800036,8.141700,1.002304,31.880688,0.927457,26.930180,0.668156,20.813084,0.900752,42.671103,0.979216
108,1.816703,8.108200,1.182336,31.883684,0.928271,27.002617,0.669396,20.722922,0.900777,43.364394,0.979728
109,1.833370,8.247900,1.007104,31.912052,0.929086,27.061397,0.669818,20.724906,0.902228,43.536387,0.980051
110,1.850037,7.983600,1.281120,31.779542,0.928486,27.116340,0.670425,20.505314,0.898152,43.626492,0.980849
111,1.866704,8.265600,1.011104,31.657691,0.928189,27.155276,0.670513,20.301552,0.894259,43.655573,0.981573
112,1.883371,8.058300,1.004352,31.637890,0.927813,27.181709,0.670645,20.340522,0.896419,43.437075,0.981575
113,1.900038,8.309000,1.269728,31.469065,0.927150,27.206596,0.670100,20.025657,0.891680,43.491762,0.982734
114,1.916705,8.201400,1.016416,31.529473,0.927837,27.259376,0.670239,20.074648,0.894796,43.484770,0.983859
115,1.933372,8.343000,1.014176,31.483146,0.926492,27.303515,0.669571,20.085830,0.896621,43.155581,0.984772
116,1.950039,7.984900,1.001344,31.365725,0.926847,27.355869,0.669670,19.844890,0.890634,42.762930,0.984842
117,1.966706,8.684100,1.011360,31.362930,0.927022,27.404902,0.669959,19.844720,0.891034,42.359073,0.985032
118,1.983373,8.167600,1.012672,31.496872,0.927943,27.461234,0.670703,20.013013,0.894141,42.086428,0.985105
119,2.000040,7.960000,1.176256,31.422024,0.928025,27.499188,0.671209,19.922378,0.889055,41.512358,0.984677
